desktop,Name[zh_TW],GenericName[zh_TW],Comment[zh_TW],Name[zh_CN],GenericName[zh_CN],Comment[zh_CN],Categories,,,,,,Name[en_US],GenericName[en_US],Comment[en_US],Categories
picmi.desktop,邏輯遊戲_Picmi,訓練邏輯能力的小遊戲,邏輯遊戲_Picmi,逻辑游戏_Picmi,训练逻辑能力的小游戏,逻辑游戏_Picmi,Game,,,,,,Logic Games _Picmi,Training logic capability games,Logic Games _Picmi,Game
granatier.desktop,炸彈超人_Granatier,類似炸彈超人的遊戲,炸彈超人_Granatier,炸弹超人_Granatier,类似炸弹超人的游戏,炸弹超人_Granatier,Game,,,,,,Zhadanchaoren _Granatier,Similar games Zhadanchaoren,Zhadanchaoren _Granatier,Game
tuxtype.desktop,打字遊戲_Tux Typing,適合小朋友及電腦初學者練習打字的遊戲軟體,打字遊戲_Tux Typing,打字游戏_TuxTyping,适合小朋友及计算机初学者练习打字的游戏软件,打字游戏_TuxTyping,Game,,,,,,_Tux Typing Typing Games,Suitable for children and beginners to practice typing computer game software,Typing games _TuxTyping,Game
tuxmath.desktop,數學遊戲_TuxMath,練習數學加減乘除的遊戲,數學遊戲_TuxMath,数学游戏_TuxMath,练习数学加减乘除的游戏,数学游戏_TuxMath,Game,,,,,,Math games _TuxMath,Exercise Mathematics Math Games,Math games _TuxMath,Game
ksudoku.desktop,數獨遊戲_KSudoku,數獨遊戲,數獨遊戲_KSudoku,数独游戏_KSudoku,数独游戏,数独游戏_KSudoku,Game,,,,,,Sudoku _KSudoku,Sudoku,Sudoku _KSudoku,Game
gnome-sudoku.desktop,數獨遊戲_gnome-sudoku,透過數字格子題目來訓練邏輯能力的遊戲,數獨遊戲_gnome-sudoku,数独游戏_gnome-sudoku,通过数字格子题目来训练逻辑能力的游戏,数独游戏_gnome-sudoku,Game,,,,,,Sudoku _gnome-sudoku,Through digital grid title game to train logic skills,Sudoku _gnome-sudoku,Game
pingus.desktop,企鵝歷險_Pingus,拯救題目要求的企鵝數量即可過關，是訓練邏輯思考的遊戲,企鵝歷險_Pingus,企鹅历险_Pingus,拯救题目要求的企鹅数量即可过关，是训练逻辑思考的游戏,企鹅历险_Pingus,Game,,,,,,Penguin Adventures _Pingus,"Save the questions asked by the number of penguins to cross the border, is the training of logical thinking game",Penguin Adventures _Pingus,Game
supertux2.desktop,超級企鵝_SuperTux,類似瑪琍歐的闖關遊戲,超級企鵝_SuperTux,超级企鹅_SuperTux,类似玛琍欧的闯关游戏,超级企鹅_SuperTux,Game,,,,,,Super Penguins _SuperTux,Similar Ma Li Europe invented a game,Super Penguins _SuperTux,Game
supertuxkart.desktop,賽車遊戲_Supertuxkart,3D賽車遊戲,賽車遊戲_Supertuxkart,赛车游戏_Supertuxkart,3D赛车游戏,赛车游戏_Supertuxkart,Game,,,,,,Racing games _Supertuxkart,3D racing game,Racing games _Supertuxkart,Game
kapman.desktop,小精靈_Kapman,吃掉所有的豆子，並設法逃避小精靈的追捕，你就可以過關囉！,小精靈_Kapman,小向导_Kapman,吃掉所有的豆子，并设法逃避小向导的追捕，你就可以过关罗！,小向导_Kapman,Game,,,,,,Elf _Kapman,"Eat all the beans, and managed to evade capture small wizard, you can pass Lo!",Little Wizard _Kapman,Game
KGoldrunner.desktop,闖關遊戲_KGoldrunner ,尋找金塊，躲避敵人，並解謎，就可以成功闖關！,闖關遊戲_KGoldrunner ,闯关游戏_KGoldrunner,寻找金块，躲避敌人，并解谜，就可以成功闯关！,闯关游戏_KGoldrunner,Game,,,,,,Invented a game _KGoldrunner,"Looking for gold, dodging enemies, and solve puzzles, you can successfully break through the barrier!",Invented a game _KGoldrunner,Game
frozen-bubble.desktop,泡泡龍_Frozen-Bubble,射完所有泡泡即可過關，是練習思考及反應力的遊戲,泡泡龍_Frozen-Bubble,泡泡龙_Frozen-Bubble,射完所有泡泡即可过关，是练习思考及反应力的游戏,泡泡龙_Frozen-Bubble,Game,,,,,,_Frozen-Bubble Bobble,"All finished shooting bubbles can cross the border, and the reaction force is to practice Thinking Games",_Frozen-Bubble Bobble,Game
klickety.desktop,棋盤遊戲_Klickety,棋盤遊戲,棋盤遊戲_Klickety,棋盘游戏_Klickety,棋盘游戏,棋盘游戏_Klickety,Game,,,,,,Board games _Klickety,board game,Board games _Klickety,Game
kdiamond.desktop,寶石方塊_KDiamond ,把三個相同的寶石連成一線即可得分,寶石方塊_KDiamond ,宝石方块_KDiamond,把三个相同的宝石连成一线即可得分,宝石方块_KDiamond,Game,,,,,,Bejeweled _KDiamond,The three identical Bao Shi Liancheng line to score,Bejeweled _KDiamond,Game
ksame.desktop,棋盤遊戲_SameGame,棋盤遊戲,棋盤遊戲_SameGame,棋盘游戏_SameGame,棋盘游戏,棋盘游戏_SameGame,Game,,,,,,Board games _SameGame,board game,Board games _SameGame,Game
kblocks.desktop,俄羅斯方塊_KBlocks,將方塊消除即可得分，是訓練思考及反應力的遊戲,俄羅斯方塊_KBlocks,俄罗斯方块_KBlocks,将方块消除即可得分，是训练思考及反应力的游戏,俄罗斯方块_KBlocks,Game,,,,,,Tetris _KBlocks,"The box score can eliminate, Reflection and Reaction force is training game",Tetris _KBlocks,Game
palapeli.desktop,拼圖遊戲_Palapeli,拼圖遊戲,拼圖遊戲_Palapeli,拼图游戏_Palapeli,拼图游戏,拼图游戏_Palapeli,Game,,,,,,Jigsaw puzzle _Palapeli,Jigsaw Puzzle,Jigsaw puzzle _Palapeli,Game
kubrick.desktop,魔術方塊_Kubrick,立體魔術方塊遊戲,魔術方塊_Kubrick,魔术方块_Kubrick,立体魔术方块游戏,魔术方块_Kubrick,Game,,,,,,Rubik's Cube _Kubrick,Three-dimensional Rubik's Cube game,Rubik's Cube _Kubrick,Game
ksquares.desktop,連線方塊_KSquares,將線連起來組成方塊,連線方塊_KSquares,连接方块_KSquares,将线连起来组成方块,连接方块_KSquares,Game,,,,,,Connection box _KSquares,The line is connected together to form a block,Connect Box _KSquares,Game
knetwalk.desktop,連線大師_KNetWalk,透過不同管線連接的方式傳送電源給電腦的益智小遊戲,連線大師_KNetWalk,连接大师_KNetWalk,通过不同流水线连接的方式传送电源给计算机的益智小游戏,连接大师_KNetWalk,Game,,,,,,Connection master _KNetWalk,Transferring power to the computer by way of the pipeline connecting different puzzle games,Connected Master _KNetWalk,Game
knetwork.desktop,連線大師_knetwork,透過不同管線連接的方式傳送電源給電腦的益智小遊戲,連線大師_knetwork,连接大师_knetwork,通过不同流水线连接的方式传送电源给计算机的益智小游戏,连接大师_knetwork,Game,,,,,,Connection master _knetwork,Transferring power to the computer by way of the pipeline connecting different puzzle games,Connected Master _knetwork,Game
klines.desktop,連線遊戲_Kolor Lines,色彩連線益智遊戲,連線遊戲_Kolor Lines,连接游戏_KolorLines,色彩连接益智游戏,连接游戏_KolorLines,Game,,,,,,Line games _Kolor Lines,Color connection puzzle game,Connect game _KolorLines,Game
kmines.desktop,踩地雷_KMines,踩地雷遊戲,踩地雷_KMines,踩地雷_KMines,踩地雷游戏,踩地雷_KMines,Game,,,,,,Minesweeper _KMines,Minesweeper Games,Minesweeper _KMines,Game
katomic.desktop,倉庫番_KAtomic,倉庫番式的智力遊戲,倉庫番_KAtomic,仓库番_KAtomic,仓库番式的智力游戏,仓库番_KAtomic,Game,,,,,,Sokoban _KAtomic,Sokoban style puzzle game,Sokoban _KAtomic,Game
kblackbox.desktop,黑盒子_KBlackBox,黑盒子智力遊戲,黑盒子_KBlackBox,黑盒子_KBlackBox,黑盒子智力游戏,黑盒子_KBlackBox,Game,,,,,,Black Box _KBlackBox,Black Box Puzzles,Black Box _KBlackBox,Game
kbreakout.desktop,打磚塊_KBreakOut,打磚塊遊戲,打磚塊_KBreakOut,打砖块_KBreakOut,打砖块游戏,打砖块_KBreakOut,Game,,,,,,Arkanoid _KBreakOut,BrickBreaker,Arkanoid _KBreakOut,Game
kbounce.desktop,彈力球_KBounce,彈力球遊戲,彈力球_KBounce,弹力球_KBounce,弹力球游戏,弹力球_KBounce,Game,,,,,,Bouncy Ball _KBounce,Bouncy Ball Game,Bouncy Ball _KBounce,Game
kollision.desktop,躲避球_Kollision,訓練反應的躲避球遊戲,躲避球_Kollision,躲避球_Kollision,训练反应的躲避球游戏,躲避球_Kollision,Game,,,,,,Dodgeball _Kollision,Training reaction dodgeball game,Dodgeball _Kollision,Game
kolf.desktop,高爾夫球_Kolf,具有機關及各種打法的高爾夫球，是訓練思考力的運動類遊戲,高爾夫球_Kolf,高尔夫球_Kolf,具有机关及各种打法的高尔夫球，是训练思考力的运动类游戏,高尔夫球_Kolf,Game,,,,,,Golf _Kolf,"Having a variety of organs and play golf, we are thinking of training sports games",Golf _Kolf,Game
kdesnake.desktop,吞食蛇_Ksnake,吞食蛇遊戲,吞食蛇_Ksnake,吞食蛇_Ksnake,吞食蛇游戏,吞食蛇_Ksnake,Game,,,,,,Snake swallowed _Ksnake,Devouring snake game,Snake swallowed _Ksnake,Game
ktron.desktop,吞食蛇_KSnakeDuel,進階吞食蛇遊戲,吞食蛇_KSnakeDuel,吞食蛇_KSnakeDuel,高级吞食蛇游戏,吞食蛇_KSnakeDuel,Game,,,,,,Snake swallowed _KSnakeDuel,Advanced swallowed snake game,Snake swallowed _KSnakeDuel,Game
kigo.desktop,圍棋_Kigo,圍棋遊戲,圍棋_Kigo,围棋_Kigo,围棋游戏,围棋_Kigo,Game,,,,,,Go _Kigo,Go Game,Go _Kigo,Game
kreversi.desktop,黑白棋_KReversi,黑白棋棋盤遊戲,黑白棋_KReversi,黑白棋_KReversi,黑白棋棋盘游戏,黑白棋_KReversi,Game,,,,,,Reversi _KReversi,Reversi Board Game,Reversi _KReversi,Game
kfourinline.desktop,四子棋_KfourInLine,四子棋棋盤遊戲,四子棋_KfourInLine,四子棋_KfourInLine,四子棋棋盘游戏,四子棋_KfourInLine,Game,,,,,,Four sons chess _KfourInLine,Four sons chess board game,Four sons chess _KfourInLine,Game
kbovo.desktop,五子棋_kbovo,五子棋棋盤遊戲,五子棋_kbovo,五子棋_kbovo,五子棋棋盘游戏,五子棋_kbovo,Game,,,,,,Backgammon _kbovo,Backgammon board game,Backgammon _kbovo,Game
bovo.desktop,五子棋_Bovo,五子棋棋盤遊戲,五子棋_Bovo,五子棋_Bovo,五子棋棋盘游戏,五子棋_Bovo,Game,,,,,,Backgammon _Bovo,Backgammon board game,Backgammon _Bovo,Game
kajongg.desktop,麻將遊戲_Kajongg,傳統四人麻將遊戲,麻將遊戲_Kajongg,麻将游戏_Kajongg,传统四人麻将游戏,麻将游戏_Kajongg,Game,,,,,,Mahjong game _Kajongg,Four traditional mahjong game,Mahjong game _Kajongg,Game
kmahjongg.desktop,麻將遊戲_KMahjongg,訓練記憶配對的上海麻將遊戲,麻將遊戲_KMahjongg,麻将游戏_KMahjongg,训练记忆配对的上海麻将游戏,麻将游戏_KMahjongg,Game,,,,,,Mahjong game _KMahjongg,Training memory paired Shanghai Mahjong game,Mahjong game _KMahjongg,Game
kshisen.desktop,麻將遊戲_Shisen-Sho,訓練記憶配對的四川省麻將遊戲,麻將遊戲_Shisen-Sho,麻将游戏_Shisen-Sho,训练记忆配对的四川省麻将游戏,麻将游戏_Shisen-Sho,Game,,,,,,Mahjong game _Shisen-Sho,Training Memory Matching Game Sichuan Mahjong,Mahjong game _Shisen-Sho,Game
kiriki.desktop,骰子遊戲_Kiriki,骰子遊戲,骰子遊戲_Kiriki,骰子游戏_Kiriki,骰子游戏,骰子游戏_Kiriki,Game,,,,,,Dice game _Kiriki,Dice Game,Dice game _Kiriki,Game
kjumpingcube.desktop,骰子遊戲_KJumpingCube,以骰子為主題的策略遊戲,骰子遊戲_KJumpingCube,骰子游戏_KJumpingCube,以骰子为主题的策略游戏,骰子游戏_KJumpingCube,Game,,,,,,Dice game _KJumpingCube,With dice-themed strategy game,Dice game _KJumpingCube,Game
lskat.desktop,紙牌遊戲_LSkat,紙牌遊戲,紙牌遊戲_LSkat,纸牌游戏_LSkat,纸牌游戏,纸牌游戏_LSkat,Game,,,,,,Card games _LSkat,Card games,Card games _LSkat,Game
kpat.desktop,紙牌遊戲_KPatience,單人玩的紙牌遊戲,紙牌遊戲_KPatience,纸牌游戏_KPatience,单人玩的纸牌游戏,纸牌游戏_KPatience,Game,,,,,,Card games _KPatience,Single player card game,Card games _KPatience,Game
bomber.desktop,戰鬥機_bomber,戰鬥機遊戲,戰鬥機_bomber,战斗机_bomber,战斗机游戏,战斗机_bomber,Game,,,,,,Fighter _bomber,Fighter Games,Fighter _bomber,Game
konquest.desktop,銀河征戰_Konquest,銀河戰略遊戲,銀河征戰_Konquest,银河征战_Konquest,银河战略游戏,银河征战_Konquest,Game,,,,,,Galaxy campaign _Konquest,Galactic Strategy Game,Galaxy campaign _Konquest,Game
kbattleship.desktop,海上戰爭_kbattleship,擊沉船隻的遊戲,海上戰爭_kbattleship,海上战争_kbattleship,击沉船只的游戏,海上战争_kbattleship,Game,,,,,,Sea War _kbattleship,Sinking ship game,Sea War _kbattleship,Game
kspaceduel.desktop,決戰星空_KSpaceDuel ,以星際戰爭為主題的大型遊戲機遊戲,決戰星空_KSpaceDuel ,决战星空_KSpaceDuel,以星际战争为主题的大型游戏机游戏,决战星空_KSpaceDuel,Game,,,,,,Battle Star _KSpaceDuel,In Star Wars themed game big game,Battle Star _KSpaceDuel,Game
killbots.desktop,征服機器人_Killbots,征服機器人遊戲,征服機器人_Killbots,征服机器人_Killbots,征服机器人游戏,征服机器人_Killbots,Game,,,,,,Conquest robot _Killbots,Conquest robot game,Conquest robot _Killbots,Game
ksirk.desktop,征服世界_KsirK,征服世界戰略遊戲,征服世界_KsirK,征服世界_KsirK,征服世界战略游戏,征服世界_KsirK,Game,,,,,,To conquer the world _KsirK,Strategy game to conquer the world,To conquer the world _KsirK,Game
ksirkskineditor.desktop,征服世界_KsirK Editor,征服世界戰略遊戲的外觀編輯器,征服世界_KsirK Editor,征服世界_KsirKEditor,征服世界战略游戏的外观编辑器,征服世界_KsirKEditor,Game,,,,,,To conquer the world _KsirK Editor,To conquer the world strategy game appearance editor,To conquer the world _KsirKEditor,Game
gnotski.desktop,華容道_gnotski,透過推箱子到目地的方式來訓練邏輯能力的遊戲,華容道_gnotski,华容道_gnotski,通过推箱子到目地的方式来训练逻辑能力的游戏,华容道_gnotski,Game,,,,,,Huarong _gnotski,To head to a way to train logic skills through game Sokoban,Huarong _gnotski,Game
gnotravex.desktop,數字拼圖_gnotravex,透過簡單拼圖遊戲訓練邏輯思考能力,數字拼圖_gnotravex,数字拼图_gnotravex,通过简单拼图游戏训练逻辑思考能力,数字拼图_gnotravex,Game,,,,,,Digital puzzle _gnotravex,Simple jigsaw puzzle training logical thinking,Digital puzzle _gnotravex,Game
pinball.desktop,彈珠台_Pinball,透過彈珠的彈射來得分，是練習專注力及反應力的遊戲,彈珠台_Pinball,弹珠台_Pinball,通过弹珠的弹射来得分，是练习专注力及反应力的游戏,弹珠台_Pinball,Game,,,,,,Pinball _Pinball,By ejection marbles to score is to practice mindfulness and responsiveness of the game,Pinball _Pinball,Game
lbreakout2.desktop,打磚塊_lbreakout2,敲完所有的磚塊即過關，是練習專注力及反應力的遊戲,打磚塊_lbreakout2,打砖块_lbreakout2,敲完所有的砖块即过关，是练习专注力及反应力的游戏,打砖块_lbreakout2,Game,,,,,,Arkanoid _lbreakout2,"Qiaowan all bricks namely clearance, is to practice mindfulness and responsiveness of the game",Arkanoid _lbreakout2,Game
kblocks.desktop,俄羅斯方塊_KBlocks,將方塊消除即可得分，是訓練思考及反應力的遊戲,俄羅斯方塊_KBlocks,俄罗斯方块_KBlocks,将方块消除即可得分，是训练思考及反应力的游戏,俄罗斯方块_KBlocks,Game,,,,,,Tetris _KBlocks,"The box score can eliminate, Reflection and Reaction force is training game",Tetris _KBlocks,Game
kolf.desktop,高爾夫球_Kolf,具有機關及各種打法的高爾夫球，是訓練思考力的遊戲,高爾夫球_Kolf,高尔夫球_Kolf,具有机关及各种打法的高尔夫球，是训练思考力的游戏,高尔夫球_Kolf,Game,,,,,,Golf _Kolf,"Having a variety of organs and play golf, we are thinking training game",Golf _Kolf,Game
tuxpuck.desktop,桌上冰球_Tuxpuck,類似冰上曲棍球，是訓練反應力的遊戲,桌上冰球_Tuxpuck,桌上冰球_Tuxpuck,类似冰上曲棍球，是训练反应力的游戏,桌上冰球_Tuxpuck,Game,,,,,,Hockey _Tuxpuck,"Similar to ice hockey, is the training of the reaction force of the game",Hockey _Tuxpuck,Game
glchess.desktop,國際象棋_glchess,國際象棋，支持多種引擎，並且具有2D、3D外觀支持。,國際象棋_glchess,国际象棋_glchess,国际象棋，支持多种引擎，并且具有2D、3D外观支持。,国际象棋_glchess,Game,,,,,,Chess _glchess,"Chess, supports a variety of engines, and has 2D, 3D appearance of the support.",Chess _glchess,Game
mahjongg.desktop,上海麻將_mahjongg,將不斷掉落的各形狀方塊拼合在一起，是訓練思考及觀察力的遊戲,上海麻將_mahjongg,上海麻将_mahjongg,将不断掉落的各形状方块拼合在一起，是训练思考及观察力的游戏,上海麻将_mahjongg,Game,,,,,,Shanghai Mahjong _mahjongg,"Each shape block will continue to drop put together, is the training and observation Thinking Games",Shanghai Mahjong _mahjongg,Game
gnomine.desktop,踩地雷_gnomine,清除方格陣中隱藏的地雷即過關，是訓練邏輯計算力的遊戲,踩地雷_gnomine,踩地雷_gnomine,清除方格阵中隐藏的地雷即过关，是训练逻辑计算力的游戏,踩地雷_gnomine,Game,,,,,,Minesweeper _gnomine,"Clear grid array that is hidden mine clearance, training is a logical computing power game",Minesweeper _gnomine,Game
sol.desktop,接龍遊戲_AisleRiot ,不同類型的接龍遊戲，是訓練思考及觀察力的遊戲,接龍遊戲_AisleRiot ,接龙游戏_AisleRiot,不同类型的接龙游戏，是训练思考及观察力的游戏,接龙游戏_AisleRiot,Game,,,,,,Solitaire _AisleRiot,"Different types of Solitaire games, is the training and observation Thinking Games",Solitaire _AisleRiot,Game
#教育,,,,,,,,,,,,,,,,
R.desktop,統計_R,一套統計領域相當出名的軟體,統計_R,统计_R,一套统计领域相当出名的软件,统计_R,Education,,,,,,Statistics _R,A set of statistical areas quite famous software,Statistics _R,Education
rkward.desktop,統計_RKward,R 的 KDE 前端介面,統計_RKward,统计_RKward,R的KDE前端界面,统计_RKward,Education,,,,,,Statistics _RKward,KDE front-end interface of R,Statistics _RKward,Education
gnumeric.desktop,統計_Gnumeric,統計軟體,統計_Gnumeric,统计_Gnumeric,统计软件,统计_Gnumeric,Education,,,,,,Statistics _Gnumeric,Statistics Software,Statistics _Gnumeric,Education
gcompris.desktop,幼教_GCompris,一套適合二到十歲的教育遊戲，內含電腦、數學、語言等類別,幼教_GCompris,幼教_GCompris,一套适合二到十岁的教育游戏，内含计算机、数学、语言等类型,幼教_GCompris,Education,,,,,,Preschool _GCompris,"Set for two to ten educational games, containing computers, mathematics, language and other types",Preschool _GCompris,Education
gcompris-edit.desktop,幼教_GCompris Edit,Gcompris 管理器,幼教_GCompris Edit,幼教_GComprisEdit,Gcompris管理器,幼教_GComprisEdit,Education,,,,,,Preschool _GCompris Edit,Gcompris Manager,Preschool _GComprisEdit,Education
ktouch.desktop,打字練習_KTouch,適合小朋友及電腦初學者練習打字的軟體,打字練習_KTouch,打字练习_KTouch,适合小朋友及计算机初学者练习打字的软件,打字练习_KTouch,Education,,,,,,Typing practice _KTouch,Suitable for children and computer beginners to practice typing software,Typing practice _KTouch,Education
klavaro.desktop,打字練習_Klavaro,適合小朋友及電腦初學者練習打字的軟體,打字練習_Klavaro,打字练习_Klavaro,适合小朋友及计算机初学者练习打字的软件,打字练习_Klavaro,Education,,,,,,Typing practice _Klavaro,Suitable for children and computer beginners to practice typing software,Typing practice _Klavaro,Education
ktuberling.desktop,馬鈴薯小子_Ktuberling,一款為小朋友設計的語言學習遊戲,馬鈴薯小子_Ktuberling,马铃薯小子_Ktuberling,一款为小朋友设计的语言学习游戏,马铃薯小子_Ktuberling,Education,,,,,,Potato Boy _Ktuberling,Learning a language game is designed for children,Potato Boy _Ktuberling,Education
anki.desktop,閃示卡記憶_Anki,可插入影音的快閃式字卡練習軟體,閃示卡記憶_Anki,闪示卡记忆_Anki,可插入影音的快闪式字卡练习软件,闪示卡记忆_Anki,Education,,,,,,Flash memory card shown _Anki,Pluggable audio and video flash card word practice software,Flash memory card shown _Anki,Education
parley.desktop,語言_Parley,英文字彙訓練的軟體,語言_Parley,语言_Parley,英文字汇训练的软件,语言_Parley,Education,,,,,,Language _Parley,Training software vocabulary of English words,Language _Parley,Education
klettres.desktop,語言_KLettres,字母與發音學習程式,語言_KLettres,语言_KLettres,字母与发音学习程序,语言_KLettres,Education,,,,,,Language _KLettres,Letters and sounds learning program,Language _KLettres,Education
kwordquiz.desktop,語言_KWordQuiz,可利用閃卡學習單字的軟體,語言_KWordQuiz,语言_KWordQuiz,可利用闪卡学习单字的软件,语言_KWordQuiz,Education,,,,,,Language _KWordQuiz,Available flash card learning words software,Language _KWordQuiz,Education
kanagram.desktop,語言_Kanagram,字母排序遊戲,語言_Kanagram,语言_Kanagram,字母排序游戏,语言_Kanagram,Education,,,,,,Language _Kanagram,Alphabetically game,Language _Kanagram,Education
khangman.desktop,語言_KHangMan,單字記憶遊戲,語言_KHangMan,语言_KHangMan,单字记忆游戏,语言_KHangMan,Education,,,,,,Language _KHangMan,Word memory game,Language _KHangMan,Education
step.desktop,物理_Step,物理模擬軟體,物理_Step,物理_Step,物理仿真软件,物理_Step,Education,,,,,,Physical _Step,Simulation Software,Physical _Step,Education
OpticalRayTracer.desktop,物理光學_OpticalRayTracer,物理光學軟體,物理光學_OpticalRayTracer,物理光学_OpticalRayTracer,物理光学软件,物理光学_OpticalRayTracer,Education,,,,,,Physical Optics _OpticalRayTracer,Physical Optics Software,Physical Optics _OpticalRayTracer,Education
marble.desktop,地理_Marble,學習地理、地圖瀏覽的軟體,地理_Marble,地理_Marble,学习地理、地图浏览的软件,地理_Marble,Education,,,,,,Geography _Marble,"Learning geography, map browsing software",Geography _Marble,Education
kgeography.desktop,地理_KGeography,學習地理、地圖瀏覽的軟體,地理_KGeography,地理_KGeography,学习地理、地图浏览的软件,地理_KGeography,Education,,,,,,Geography _KGeography,"Learning geography, map browsing software",Geography _KGeography,Education
googleearth.desktop,地球儀_Google Earth,結合衛星、圖資與GIS的地球儀軟體,地球儀_Google Earth,地球仪_GoogleEarth,结合卫星、图资与GIS的地球仪软件,地球仪_GoogleEarth,Education,,,,,,Globe _Google Earth,"Combining satellite, map data and GIS software globes",Globe _GoogleEarth,Education
kstars.desktop,天文_KStars,顯示時間、天氣和地理位置的星相軟體,天文_KStars,天文_KStars,显示时间、天气和地理位置的星相软件,天文_KStars,Education,,,,,,Astronomy _KStars,"Display the time, weather and geographical location astrological software",Astronomy _KStars,Education
stellarium.desktop,天文_Stellarium,即時顯示時間和所在位置的星座軟體,天文_Stellarium,天文_Stellarium,即时显示时间和所在位置的星座软件,天文_Stellarium,Education,,,,,,Astronomy _Stellarium,Instant display the time and location of the constellation software,Astronomy _Stellarium,Education
celestia.desktop,天文_Celestia,可流暢地顯示高解析度影像的天文軟體,天文_Celestia,天文_Celestia,可流畅地显示高分辨率影像的天文软件,天文_Celestia,Education,,,,,,Astronomy _Celestia,It can smoothly display high-resolution images of astronomical software,Astronomy _Celestia,Education
kbruch.desktop,數學_KBruch,學習計算與分數的軟體,數學_KBruch,数学_KBruch,学习计算与分数的软件,数学_KBruch,Education,,,,,,Mathematics _KBruch,Learning Computing and Software Score,Mathematics _KBruch,Education
kig.desktop,數學_Kig,用於描繪幾何結構的軟體,數學_Kig,数学_Kig,用于描绘几何结构的软件,数学_Kig,Education,,,,,,Mathematics _Kig,Software for drawing geometry,Mathematics _Kig,Education
drgeo.desktop,數學_Dr.Geo,尺規製圖的幾何數理軟體,數學_Dr.Geo,数学_Dr.Geo,尺规制图的几何数理软件,数学_Dr.Geo,Education,,,,,,Mathematics _Dr.Geo,Ruler mathematical geometric drawing software,Mathematics _Dr.Geo,Education
kmplot.desktop,數學_KmPlot,繪製數學函數的軟體,數學_KmPlot,数学_KmPlot,绘制数学函数的软件,数学_KmPlot,Education,,,,,,Mathematics _KmPlot,Drawing mathematical functions Software,Mathematics _KmPlot,Education
geogebra.desktop,數學_GeoGebra,繪製幾何圖形的軟體,數學_GeoGebra,数学_GeoGebra,绘制几何图形的软件,数学_GeoGebra,Education,,,,,,Mathematics _GeoGebra,Drawing geometry software,Mathematics _GeoGebra,Education
wxmaxima.desktop,數學_wxMaxima,用LISP編寫的計算機代數系統，用於公式推導和符號計算,數學_wxMaxima,数学_wxMaxima,用LISP编写的计算器代数系统，用于公式推导和符号计算,数学_wxMaxima,Education,,,,,,Mathematics _wxMaxima,Written in LISP calculator algebraic system for deriving formulas and symbolic computation,Mathematics _wxMaxima,Education
kalgebra.desktop,數學_KAlgebra,圖形計算器,數學_KAlgebra,数学_KAlgebra,图形计算机,数学_KAlgebra,Education,,,,,,Mathematics _KAlgebra,Computer Graphics,Mathematics _KAlgebra,Education
cantor.desktop,數學_Cantor,KAlgebra圖形計算器的前端介面,數學_Cantor,数学_Cantor,KAlgebra图形计算机的后端界面,数学_Cantor,Education,,,,,,Mathematics _Cantor,KAlgebra computer graphics backend interface,Mathematics _Cantor,Education
kayali.desktop,數學_Kayali,圖形介面之運算 (Maxima) 及繪圖 (GNUplot) 軟體,數學_Kayali,数学_Kayali,图形界面之运算(Maxima)及绘图(GNUplot)软件,数学_Kayali,Education,,,,,,Mathematics _Kayali,Graphical interface of the operation (Maxima) and graphics (GNUplot) Software,Mathematics _Kayali,Education
geometria.desktop,數學_geometria,繪製幾何圖形,數學_geometria,数学_geometria,绘制几何图形,数学_geometria,Education,,,,,,Mathematics _geometria,Drawing Geometry,Mathematics _geometria,Education
rocs.desktop,資料結構分析_Rocs,圖形理論資料結構分析工具,資料結構分析_Rocs,数据结构分析_Rocs,图形理论数据结构分析工具,数据结构分析_Rocs,Education,,,,,,Data Structure _Rocs,Graph theory data structure analysis tools,Data structure analysis _Rocs,Education
kalzium.desktop,化學_Kalzium,元素週期表軟體,化學_Kalzium,化学_Kalzium,元素周期表软件,化学_Kalzium,Education,,,,,,Chemical _Kalzium,Periodic Table of Elements software,Chemical _Kalzium,Education
bkchem.desktop,化學_BKchem,平面化學分子的繪圖軟體,化學_BKchem,化学_BKchem,平面化学分子的绘图软件,化学_BKchem,Education,,,,,,Chemical _BKchem,Chemical molecules plane mapping software,Chemical _BKchem,Education
ghemical.desktop,化學_Ghemical,化學立體分子繪圖軟體,化學_Ghemical,化学_Ghemical,化学立体分子绘图软件,化学_Ghemical,Education,,,,,,Chemical _Ghemical,Three-dimensional molecular chemical drawing software,Chemical _Ghemical,Education
avogadro.desktop,化學_Avogadro,化學立體分子繪圖軟體,化學_Avogadro,化学_Avogadro,化学立体分子绘图软件,化学_Avogadro,Education,,,,,,Chemical _Avogadro,Three-dimensional molecular chemical drawing software,Chemical _Avogadro,Education
gchempaint-0.12.desktop,化學_GchemPaint,化學結構編輯軟體,化學_GchemPaint,化学_GchemPaint,化学结构编辑软件,化学_GchemPaint,Education,,,,,,Chemical _GchemPaint,The chemical structure editing software,Chemical _GchemPaint,Education
gchempaint-0.14.desktop,化學_GchemPaint,化學結構編輯軟體,化學_GchemPaint,化学_GchemPaint,化学结构编辑软件,化学_GchemPaint,Education,,,,,,Chemical _GchemPaint,The chemical structure editing software,Chemical _GchemPaint,Education
pymol.desktop,生化_Pymol,立體分子繪圖及看圖軟體,生化_Pymol,生化_Pymol,立体分子绘图及看图软件,生化_Pymol,Education,,,,,,Biochemical _Pymol,Three-dimensional molecule drawing and charting software,Biochemical _Pymol,Education
